lemmatized_question,sequence
who {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} was {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} had been {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} has been {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} have been {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} were {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} are {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} was {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} had been {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} have been {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} were {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} are {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION}  is {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION}  is being {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION}  being {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} has been {VERB} by who all,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} is {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} is being {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} being {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} was {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} were {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} are {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} has been {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} have been {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} had been {VERB} by who exactly,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who is currently {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} {VERB} currently by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
currently {ORGANIZATION} {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
currently who is {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
who is {VERB} {ORGANIZATION} now,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
{ORGANIZATION} {VERB} now by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
now {ORGANIZATION} {VERB} by who,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
now who is {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
{VERB} {ORGANIZATION} by who now,VERTEX any | CONDITION any | EDGE {VERB} | CONDITION year = now | VERTEX Organization | CONDITION name = {ORGANIZATION}
what happen with {ORGANIZATION} in the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} in the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} in the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was {ORGANIZATION} like in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is {ORGANIZATION} like now,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {ORGANIZATION} look like now,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {ORGANIZATION} look like in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is happen with {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what is happen at {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
everything about {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
how was {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
all information on {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
all information on {ORGANIZATION} in {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
everything you know about {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
everything you have on {ORGANIZATION},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX any | CONDITION any
what happen with {ORGANIZATION} 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was {ORGANIZATION} like 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
how did {ORGANIZATION} do 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what do {ORGANIZATION} look like 5 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what happen with {ORGANIZATION} 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was {ORGANIZATION} like 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what do {ORGANIZATION} look like 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
how did {ORGANIZATION} do 3 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what happen with {ORGANIZATION} 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was {ORGANIZATION} like 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what do {ORGANIZATION} look like 1 year ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what happen with {ORGANIZATION} 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was {ORGANIZATION} like 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what do {ORGANIZATION} look like 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
how did {ORGANIZATION} do 10 years ago,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what happen with {ORGANIZATION} 5 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} 5 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} 3 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} 3 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} 1 year ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -1 | VERTEX any | CONDITION any
what was {ORGANIZATION} like 10 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
what do {ORGANIZATION} look like 10 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
how did {ORGANIZATION} do 3 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
how was {ORGANIZATION} 3 years ago and before,VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what happen with {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what was {ORGANIZATION} like before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
how did {ORGANIZATION} do before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
how was {ORGANIZATION} before the year {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what was {ORGANIZATION} like before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
how did {ORGANIZATION} do before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
how was {ORGANIZATION} before {YEAR},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION year <= {YEAR} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} before the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} on the date {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was {ORGANIZATION} like on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {ORGANIZATION} look like on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {ORGANIZATION} do on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {ORGANIZATION} on or before {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {ORGANIZATION} on {DATE},VERTEX Organization | CONDITION name = {ORGANIZATION} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
