,headline,url,publisher,date,stock
36,"How to Time the Markets Like an Investing Pro - February 20, 2020",http://www.zacks.com/stock/news/775137/how-to-time-the-markets-like-an-investing-pro-february-20-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-775137,Zacks,2020-02-20 00:00:00,A
37,Stock Chart Breakdown Alert: Agilent Tech (A),https://talkmarkets.com/content/stock-chart-breakdown-alert-agilent-tech-a?post=251694,TalkMarkets,2020-02-19 00:00:00,A
38,"Agilent (A) Q1 Earnings In Line With Estimates, Revenues Top",http://www.zacks.com/stock/news/772907/agilent-a-q1-earnings-in-line-with-estimates-revenues-top?cid=CS-BENZ-FT-analyst_blog|earnings_article-772907,Zacks,2020-02-19 00:00:00,A
39,Bill Ackman's Pershing Square: 4th-Quarter Update,http://www.gurufocus.com/news/1042860/bill-ackmans-pershing-square-4thquarter-update,GuruFocus,2020-02-18 00:00:00,A
40,"GoDaddy (GDDY) Q4 Earnings Miss Estimates, Revenues Beat",http://www.zacks.com/stock/news/771320/godaddy-gddy-q4-earnings-miss-estimates-revenues-beat?cid=CS-BENZ-FT-analyst_blog|earnings_article-771320,Zacks,2020-02-18 00:00:00,A
41,"Wunderlich Capital Managemnt Buys ServiceNow Inc, Truist Financial Corp, Agilent Technologies ...",http://www.gurufocus.com/news/1041634/wunderlich-capital-managemnt-buys-servicenow-inc-truist-financial-corp-agilent-technologies-inc-sells-suntrust-banks-inc-diamondback-energy-inc,GuruFocus,2020-02-17 00:00:00,A
42,"Napier Park Global Capital LLC Buys Invesco Senior Loan, Agilent Technologies Inc, Lowe's Inc, ...",http://www.gurufocus.com/news/1038789/napier-park-global-capital-llc-buys-invesco-senior-loan-agilent-technologies-inc-lowes-inc-sells-ishares-iboxx--investment-grade-corporate-bond-nrg-energy-inc-ceridian-hcm-holding-inc,GuruFocus,2020-02-14 00:00:00,A
43,Stock Upgrades: Agilent Technologies Shows Rising Relative Strength,http://www.investors.com/ibd-data-stories/stock-upgrades-agilent-technologies-shows-rising-relative-strength-4/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-02-13 00:00:00,A
44,Applied Materials (AMAT) Q1 Earnings & Sales Top Estimates,http://www.zacks.com/stock/news/763708/applied-materials-amat-q1-earnings-sales-top-estimates?cid=CS-BENZ-FT-analyst_blog|earnings_article-763708,Zacks,2020-02-13 00:00:00,A
45,"Stonehage Fleming Financial Services Holdings Ltd Buys Autoliv Inc, Walmart Inc, Uber ...",http://www.gurufocus.com/news/1037232/stonehage-fleming-financial-services-holdings-ltd-buys-autoliv-inc-walmart-inc-uber-technologies-inc-sells-ishares-msci-emerging-markets-etf-edwards-lifesciences-corp-altria-group-inc,GuruFocus,2020-02-13 00:00:00,A
46,"Clearfield Capital Management Lp Buys Insperity Inc, Square Inc, Agilent Technologies Inc, ...",http://www.gurufocus.com/news/1036898/clearfield-capital-management-lp-buys-insperity-inc-square-inc-agilent-technologies-inc-sells-l3harris-technologies-inc-equifax-inc-liberty-formula-one-group,GuruFocus,2020-02-12 00:00:00,A
47,Agilent (A) Gears Up for Q1 Earnings: What's in the Cards?,http://www.zacks.com/stock/news/761933/agilent-a-gears-up-for-q1-earnings-whats-in-the-cards?cid=CS-BENZ-FT-analyst_blog|earnings_preview-761933,Zacks,2020-02-12 00:00:00,A
48,"Troy Asset Management Ltd Buys Agilent Technologies Inc, Mastercard Inc, Cisco Systems Inc, ...",http://www.gurufocus.com/news/1035886/troy-asset-management-ltd-buys-agilent-technologies-inc-mastercard-inc-cisco-systems-inc-sells-ebay-inc,GuruFocus,2020-02-11 00:00:00,A
49,Can Strong Cloud Growth Propel Alibaba's (BABA) Q3 Earnings?,http://www.zacks.com/stock/news/759889/can-strong-cloud-growth-propel-alibabas-baba-q3-earnings?cid=CS-BENZ-FT-analyst_blog|earnings_preview-759889,Zacks,2020-02-11 00:00:00,A
50,Fortive (FTV) Earnings & Revenues Surpass Estimates in Q4,http://www.zacks.com/stock/news/754382/fortive-ftv-earnings-revenues-surpass-estimates-in-q4?cid=CS-BENZ-FT-analyst_blog|earnings_article-754382,Zacks,2020-02-07 00:00:00,A
51,"Eaton Vance Exits Celgene, Trims Amgen Position",http://www.gurufocus.com/news/1028223/eaton-vance-exits-celgene-trims-amgen-position,GuruFocus,2020-02-04 00:00:00,A
52,"Mechanics Bank Trust Department Buys SPDR Wells Fargo Preferred Stock ETF, Huntington ...",http://www.gurufocus.com/news/1021009/mechanics-bank-trust-department-buys-spdr-wells-fargo-preferred-stock-etf-huntington-bancshares-inc-hanesbrands-inc-sells-nestle-sa-the-kroger-co-ch-robinson-worldwide-inc,GuruFocus,2020-01-23 00:00:00,A
53,"Krueger & Catalano Capital Partners, LLC Buys Bristol-Myers Squibb Company, Agilent ...",http://www.gurufocus.com/news/1019362/krueger--catalano-capital-partners-llc-buys-bristolmyers-squibb-company-agilent-technologies-inc-msci-inc-sells-cullenfrost-bankers-inc-boeing-co-twilio-inc,GuruFocus,2020-01-21 00:00:00,A
54,"Parnassus Endeavor Fund Adds to Cisco, Alphabet",http://www.gurufocus.com/news/1015901/parnassus-endeavor-fund-adds-to-cisco-alphabet,GuruFocus,2020-01-15 00:00:00,A
55,Parnassus Endeavor Fund Invests in Insurance and Logistics in 4th Quarter,http://www.gurufocus.com/news/1015722/parnassus-endeavor-fund-invests-in-insurance-and-logistics-in-4th-quarter,GuruFocus,2020-01-15 00:00:00,A
56,"Timing the Market, Is it Possible? - January 10, 2020",http://www.zacks.com/stock/news/711428/timing-the-market-is-it-possible-january-10-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-711428,Zacks,2020-01-10 00:00:00,A
57,Why Is Agilent (A) Up 5.4% Since Last Earnings Report?,http://www.zacks.com/stock/news/687371/why-is-agilent-a-up-54-since-last-earnings-report?cid=CS-BENZ-FT-realtime_blog-687371,Zacks,2019-12-25 00:00:00,A
58,"The Market Timing Secrets No One Talks About - December 17, 2019",http://www.zacks.com/stock/news/675479/the-market-timing-secrets-no-one-talks-about-december-17-2019?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-675479,Zacks,2019-12-17 00:00:00,A
59,Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $4 million of Shares,https://www.benzinga.com/node/14992143,GuruFocus,2019-12-13 00:00:00,A
60,"Live Nation Entertainment, Zebra Technologies, STERIS Set to Join S&P 5……; Others to ...",https://www.benzinga.com/node/14992163,GuruFocus,2019-12-13 00:00:00,A
61,"Nomura Holdings Inc Buys Aramark, AT&T Inc, Emerson Electric Co, Sells Amazon. ...",https://www.benzinga.com/node/14984762,GuruFocus,2019-12-12 00:00:00,A
62,Bill Ackman's Pershing Square Packs Into Agilent,https://www.benzinga.com/node/14964953,GuruFocus,2019-12-10 00:00:00,A
63,Wall Street Breakfast: Trade Deadline And Fed Meeting,https://seekingalpha.com/article/4311579-wall-street-breakfast-trade-deadline-and-fed-meeting?utm_source=partner_&utm_medium=referralbenzinga,Seeking Alpha,2019-12-10 00:00:00,A
64,"Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, Sells Automatic Data ...",https://www.benzinga.com/node/14958377,GuruFocus,2019-12-09 00:00:00,A
65,Agilent up 4% after hours on Pershing stake,https://seekingalpha.com/news/3524933-agilent-up-4-after-hours-on-pershing-stake?source=partner_benzinga,Seeking Alpha,2019-12-09 00:00:00,A
66,Best Large-Cap Stocks To Buy Now,https://seekingalpha.com/article/4310979-best-large-cap-stocks-to-buy-now?source=partner_benzinga,Seeking Alpha,2019-12-06 00:00:00,A
67,"Agilent Technologies Inc (A) Management Presents at Evercore ISI HealthCONx Conference (Transcript)",https://seekingalpha.com/article/4310780-agilent-technologies-inc-management-presents-evercore-isi-healthconx-conference-transcript?source=partner_benzinga,Seeking Alpha,2019-12-05 00:00:00,A
68,Agilent Technologies Inc (A) Presents at The 31st Annual Piper Jaffray Healthcare Conference (Transcript),https://seekingalpha.com/article/4310477-agilent-technologies-inc-presents-31st-annual-piper-jaffray-healthcare-conference-transcript?source=partner_benzinga,Seeking Alpha,2019-12-04 00:00:00,A
69,Agilent (A) Earnings and Revenues Surpass Estimates in Q4,http://www.zacks.com/stock/news/638168/agilent-a-earnings-and-revenues-surpass-estimates-in-q4?cid=CS-BENZ-FT-analyst_blog|earnings_article-638168,Zacks,2019-11-26 00:00:00,A
70,"Agilent Technologies Inc (A) CEO Mike McMullen on Q4 2019 Results - Earnings Call Transcript",https://seekingalpha.com/article/4309111-agilent-technologies-inc-ceo-mike-mcmullen-q4-2019-results-earnings-call-transcript?source=partner_benzinga,Seeking Alpha,2019-11-25 00:00:00,A
71,"Dow Jones Futures: Stock Market Fear Gauge Hits New Low; Palo Alto Networks, Nutanix, Ambarella, Hewlett Packard Enterprise, ChemoCentryx Are Big Movers Late",http://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-fear-gauge-hits-new-low-palo-alto-networks-nutanix-ambarella/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-11-25 00:00:00,A
72,Agilent Technologies (A) Surpasses Q4 Earnings and Revenue Estimates,http://www.zacks.com/stock/news/637442/agilent-technologies-a-surpasses-q4-earnings-and-revenue-estimates?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_4-637442,Zacks,2019-11-25 00:00:00,A
73,"Agilent Technologies Inc 2019 Q4 - Results - Earnings Call Presentation",https://seekingalpha.com/article/4309065-agilent-technologies-inc-2019-q4-results-earnings-call-presentation?source=partner_benzinga,Seeking Alpha,2019-11-25 00:00:00,A
74,"Agilent EPS beats by $0.03, misses on revenue",https://seekingalpha.com/news/3521902-agilent-eps-beats-0_03-misses-revenue?source=partner_benzinga,Seeking Alpha,2019-11-25 00:00:00,A
75,Agilent Q4 2019 Earnings Preview,https://seekingalpha.com/news/3521679-agilent-q4-2019-earnings-preview?source=partner_benzinga,Seeking Alpha,2019-11-24 00:00:00,A
76,Notable earnings after Monday's close,https://seekingalpha.com/news/3521666-notable-earnings-monday-s-close?source=partner_benzinga,Seeking Alpha,2019-11-24 00:00:00,A
77,"Dividend Increases: November 18-22, 2019",https://seekingalpha.com/article/4308845-dividend-increases-november-18minus-22-2019?source=partner_benzinga,Seeking Alpha,2019-11-24 00:00:00,A
78,"Spotlight On Alibaba, Best Buy And DuPont (Stocks To Watch Podcast)",https://seekingalpha.com/article/4308812-spotlight-alibaba-best-buy-dupont-stocks-watch-podcast?source=partner_benzinga,Seeking Alpha,2019-11-24 00:00:00,A
79,Dividend Challenger Highlights: Week Of November 24,https://seekingalpha.com/article/4308801-dividend-challenger-highlights-week-november-24?source=partner_benzinga,Seeking Alpha,2019-11-23 00:00:00,A
80,"Stocks To Watch: Spotlight On Alibaba, Best Buy And DuPont",https://seekingalpha.com/article/4308790-stocks-watch-spotlight-alibaba-best-buy-dupont?source=partner_benzinga,Seeking Alpha,2019-11-23 00:00:00,A
81,Earnings Watch: PANW Stock Rallies Ahead Of Results; Retail Leader Forms Bullish Base,http://www.investors.com/research/earnings-preview/panw-stock-rallies-sharply-ahead-of-earnings/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-11-22 00:00:00,A
82,Agilent on watch after positive EU drug development,https://seekingalpha.com/news/3521521-agilent-watch-positive-eu-drug-development?source=partner_benzinga,Seeking Alpha,2019-11-22 00:00:00,A
83,Agilent Is Up Almost 20% Since Its Last Earnings Report: Assessing If The Momentum Continues,https://seekingalpha.com/article/4308328-agilent-almost-20-percent-since-last-earnings-report-assessing-momentum-continues?source=partner_benzinga,Seeking Alpha,2019-11-21 00:00:00,A
84,"Yes, You Can Time the Market. Find out How - November 21, 2019",http://www.zacks.com/stock/news/630849/yes-you-can-time-the-market-find-out-how-november-21-2019?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-630849,Zacks,2019-11-21 00:00:00,A
85,"The Top Large-Cap Sectors, Industries, And Stocks To Buy Now",https://seekingalpha.com/article/4308176-top-large-cap-sectors-industries-stocks-buy-now?source=partner_benzinga,Seeking Alpha,2019-11-21 00:00:00,A
86,Agilent declares $0.18 dividend,https://seekingalpha.com/news/3520971-agilent-declares-0_18-dividend?source=partner_benzinga,Seeking Alpha,2019-11-20 00:00:00,A
87,Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?,http://www.zacks.com/stock/news/625743/agilent-technologies-a-earnings-expected-to-grow-should-you-buy?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_9-625743,Zacks,2019-11-18 00:00:00,A
88,"Retailers, Dubai Airshow And Cybertrucks (Stocks To Watch Podcast)",https://seekingalpha.com/article/4307271-retailers-dubai-airshow-cybertrucks-stocks-watch-podcast?source=partner_benzinga,Seeking Alpha,2019-11-17 00:00:00,A
89,"Stocks To Watch: Retailers, Dubai Airshow And Cybertrucks",https://seekingalpha.com/article/4307244-stocks-watch-retailers-dubai-airshow-cybertrucks?source=partner_benzinga,Seeking Alpha,2019-11-16 00:00:00,A
90,"Fairpointe Capital LLC Buys Adtalem Global Education Inc, Corning Inc, Agilent Technologies ...",https://www.benzinga.com/node/14823635,GuruFocus,2019-11-15 00:00:00,A
91,PerkinElmer: An Excellent Opportunity,https://seekingalpha.com/article/4307103-perkinelmer-excellent-opportunity?source=partner_benzinga,Seeking Alpha,2019-11-15 00:00:00,A
92,Stifel likes Illumina in premarket analyst action,https://seekingalpha.com/news/3519763-stifel-likes-illumina-premarket-analyst-action?source=partner_benzinga,Seeking Alpha,2019-11-15 00:00:00,A
93,Market-Beating Sector ETFs Year to Date,http://www.zacks.com/stock/news/621178/market-beating-sector-etfs-year-to-date?cid=CS-BENZ-FT-etf_news_and_commentary-621178,Zacks,2019-11-15 00:00:00,A
94,"Tiemann Investment Advisors, Llc Buys SPDR Barclays Convertible Securities ETF, D.R. ...",https://www.benzinga.com/node/14819342,GuruFocus,2019-11-15 00:00:00,A
95,Stocks Showing Rising Market Leadership: Agilent Technologies Earns 82 RS Rating,http://www.investors.com/ibd-data-stories/stocks-showing-rising-market-leadership-agilent-technologies-earns-82-rs-rating/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-11-14 00:00:00,A
96,"Epoch Investment Partners Inc Buys KKR Inc, Coca-Cola Co, Huntington Ingalls Industries Inc, ...",https://www.benzinga.com/node/14804572,GuruFocus,2019-11-13 00:00:00,A
97,Agilent Technologies Sees RS Rating Improve To 76,http://www.investors.com/ibd-data-stories/agilent-technologies-sees-rs-rating-improve-to-76/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-11-12 00:00:00,A
98,"Royal London Asset Management Ltd Buys Apple Inc, Amazon. ...",https://www.benzinga.com/node/14785636,GuruFocus,2019-11-12 00:00:00,A
99,"TD Asset Management Inc Buys TC Energy Corp, iShares iBoxx $ High Yield Corporate Bond ETF, ...",https://www.benzinga.com/node/14761049,GuruFocus,2019-11-07 00:00:00,A
100,"TDAM USA Inc. Buys Phillips 66, DuPont de Nemours Inc, Agilent Technologies Inc, Sells Apple ...",https://www.benzinga.com/node/14761053,GuruFocus,2019-11-07 00:00:00,A
